Estado,Genero,edad,Anio,Distancia
0,1,39,2015,6.135217051724262
1,1,50,2010,8.146193987967754
1,1,51,2012,9.788628397940874
0,1,57,2011,6.135217051724262
1,1,46,2010,7.143092038827603
0,0,54,2014,11.846837795576148
1,1,48,2013,6.135217051724262
0,1,44,2010,6.135217051724262
0,1,48,2013,13.117245477271249
0,1,48,2010,6.135217051724262
0,1,46,2011,6.135217051724262
0,1,54,2019,7.143092038827603
0,1,44,2010,7.143092038827603
0,1,44,2010,8.146193987967754
1,1,51,2015,6.135217051724262
0,1,44,2011,6.135217051724262
0,0,47,2011,6.135217051724262
0,0,50,2012,8.146193987967754
1,1,51,2014,6.135217051724262
1,1,47,2011,6.135217051724262
0,1,48,2013,6.135217051724262
0,1,43,2010,15.047400157843684
1,1,51,2018,8.146193987967754
1,0,43,2010,6.135217051724262
1,0,46,2014,6.135217051724262
0,1,42,2010,108.590236018305
0,1,44,2010,7.143092038827603
1,1,50,2016,8.146193987967754
0,1,49,2010,6.135217051724262
1,1,49,2015,8.146193987967754
1,0,48,2016,7.143092038827603
1,1,42,2010,6.135217051724262
0,1,44,2010,9.788628397940874
1,1,41,2010,7.143092038827603
1,1,47,2016,8.146193987967754
1,1,45,2013,6.135217051724262
1,0,45,2013,7.143092038827603
1,0,41,2010,6.135217051724262
0,1,51,2019,7.143092038827603
1,1,42,2010,6.135217051724262
0,1,45,2013,6.135217051724262
0,1,44,2012,6.135217051724262
1,1,50,2018,6.135217051724262
1,1,46,2015,6.135217051724262
1,1,43,2012,6.135217051724262
0,1,41,2010,7.143092038827603
0,1,43,2010,6.135217051724262
1,0,46,2015,7.143092038827603
0,1,44,2011,6.135217051724262
1,1,44,2011,13.117245477271249
1,1,44,2014,7.143092038827603
0,1,48,2013,6.135217051724262
1,1,45,2015,7.143092038827603
0,0,44,2013,6.135217051724262
0,1,46,2011,6.135217051724262
0,1,40,2010,6.135217051724262
1,1,48,2010,8.146193987967754
1,1,40,2010,6.135217051724262
1,0,47,2019,7.143092038827603
1,0,48,2018,6.135217051724262
1,1,47,2018,8.146193987967754
0,0,48,2010,25.502540975429735
1,1,47,2017,6.135217051724262
0,1,41,2010,6.135217051724262
1,0,36,2010,6.135217051724262
1,1,45,2010,7.143092038827603
1,1,45,2014,7.143092038827603
0,1,41,2010,9.788628397940874
1,1,39,2010,7.143092038827603
0,0,41,2010,8.146193987967754
0,1,53,2019,6.135217051724262
0,0,42,2013,7.143092038827603
0,1,40,2010,6.135217051724262
0,1,38,2010,6.135217051724262
1,1,40,2010,14.304701799171243
0,1,49,2010,15.047400157843684
0,1,41,2012,6.135217051724262
0,1,40,2010,8.146193987967754
0,1,41,2010,6.135217051724262
1,1,43,2012,7.143092038827603
0,0,47,2017,20.437470157034927
0,0,45,2014,6.135217051724262
0,1,51,2010,6.135217051724262
0,1,42,2010,6.135217051724262
0,1,40,2010,6.135217051724262
1,1,43,2014,20.622910632437794
1,1,42,2012,15.807279470841578
1,0,41,2013,9.638893365308649
0,1,40,2011,8.146193987967754
1,1,47,2018,7.143092038827603
0,1,41,2012,6.135217051724262
0,1,48,2010,7.143092038827603
0,1,46,2018,6.135217051724262
1,1,41,2013,6.135217051724262
0,0,37,2010,8.146193987967754
0,0,48,2017,6.135217051724262
1,0,40,2010,6.135217051724262
0,1,38,2010,7.143092038827603
1,1,40,2010,7.143092038827603
0,1,49,2013,6.135217051724262
0,1,38,2010,6.135217051724262
1,1,40,2010,17.764187454353447
0,1,47,2015,127.750635450938
1,1,46,2012,9.788628397940874
0,0,38,2010,6.135217051724262
0,1,41,2012,6.135217051724262
0,1,42,2010,6.135217051724262
0,1,37,2010,9.788628397940874
1,1,39,2010,40.5803887645008
0,1,43,2011,50.9139197095714
0,1,44,2011,9.788628397940874
1,1,48,2019,6.135217051724262
0,1,38,2010,6.135217051724262
0,1,44,2016,7.143092038827603
1,1,42,2014,40.69180074178339
1,1,39,2010,6.135217051724262
0,1,22,2010,79.24631697568374
0,0,39,2012,6.135217051724262
1,1,39,2011,7.143092038827603
0,1,42,2010,7.143092038827603
0,1,43,2013,30.221076341174985
1,1,44,2017,9.788628397940874
0,1,50,2010,7.143092038827603
0,0,36,2010,14.168253464651103
0,0,39,2010,6.135217051724262
1,1,50,2019,7.143092038827603
0,1,38,2010,6.135217051724262
1,1,37,2010,7.143092038827603
1,1,48,2019,6.135217051724262
1,1,46,2019,8.146193987967754
1,1,39,2011,7.143092038827603
1,1,41,2014,6.135217051724262
0,1,42,2015,8.146193987967754
0,1,37,2010,6.135217051724262
0,1,43,2015,102.81352587572835
0,1,38,2011,6.135217051724262
0,1,38,2010,6.135217051724262
1,1,43,2016,6.135217051724262
0,1,40,2010,6.135217051724262
0,1,42,2014,15.047400157843684
1,1,43,2013,11.846837795576148
0,1,37,2010,8.146193987967754
0,1,40,2010,8.146193987967754
1,1,41,2010,6.135217051724262
0,0,47,2014,8.146193987967754
1,1,45,2015,6.135217051724262
0,1,41,2010,6.135217051724262
0,1,46,2011,6.135217051724262
1,1,43,2013,6.135217051724262
0,1,45,2010,6.135217051724262
0,1,43,2011,6.135217051724262
0,1,40,2010,6.135217051724262
0,1,41,2012,129.93700971357183
0,1,44,2010,8.146193987967754
1,1,42,2016,9.788628397940874
0,1,40,2011,6.135217051724262
0,1,39,2013,30.221076341174985
0,1,36,2010,6.135217051724262
0,1,40,2013,15.807279470841578
0,1,38,2011,8.146193987967754
0,1,43,2015,8.146193987967754
0,1,39,2010,6.135217051724262
1,1,36,2010,6.135217051724262
0,1,43,2010,141.0768201770938
0,1,39,2011,6.135217051724262
1,1,45,2018,6.135217051724262
0,1,37,2010,8.146193987967754
1,1,48,2017,7.143092038827603
0,1,36,2010,6.135217051724262
0,0,36,2010,6.135217051724262
1,1,39,2012,7.143092038827603
0,1,40,2012,14.168253464651103
1,1,41,2014,7.143092038827603
0,1,42,2015,6.135217051724262
1,1,44,2015,6.135217051724262
1,0,40,2010,7.143092038827603
1,1,47,2017,6.135217051724262
0,1,38,2010,8.146193987967754
1,1,33,2010,6.135217051724262
1,1,45,2011,7.143092038827603
0,1,42,2010,8.146193987967754
1,0,46,2019,15.047400157843684
0,1,44,2010,6.135217051724262
1,1,36,2011,7.143092038827603
1,1,36,2010,7.143092038827603
0,1,41,2014,6.135217051724262
0,1,39,2010,6.135217051724262
0,1,44,2016,7.143092038827603
1,0,42,2013,6.135217051724262
0,1,45,2019,6.135217051724262
0,1,36,2010,7.143092038827603
0,1,48,2010,6.135217051724262
0,1,36,2010,6.135217051724262
0,1,36,2010,7.143092038827603
0,1,44,2014,6.135217051724262
0,1,44,2017,14.168253464651103
0,1,38,2011,6.135217051724262
1,1,45,2018,6.135217051724262
0,1,41,2013,6.135217051724262
1,1,36,2010,7.143092038827603
1,1,40,2012,9.788628397940874
0,0,40,2013,6.135217051724262
0,0,55,2012,6.135217051724262
0,1,39,2010,6.135217051724262
0,0,38,2010,17.63964863987413
0,1,36,2010,141.0768201770938
0,1,42,2010,6.135217051724262
1,1,42,2016,6.135217051724262
0,1,39,2010,6.135217051724262
1,1,42,2013,6.135217051724262
0,1,37,2010,8.146193987967754
0,0,42,2014,7.143092038827603
0,0,36,2010,6.135217051724262
0,0,37,2010,14.168253464651103
0,1,35,2010,19.949826800084686
0,1,36,2011,9.788628397940874
0,0,37,2010,9.788628397940874
0,1,37,2012,6.135217051724262
0,0,41,2016,7.143092038827603
